Time,Building,Method,Consumption_kWh,Actions_Disc
0,Building_5,Meta-RL,0.20420755646675462,2.0
1,Building_5,Meta-RL,0.1819057169667541,2.0
2,Building_5,Meta-RL,0.20349433571487202,0.0
3,Building_5,Meta-RL,0.09449047819355952,0.0
4,Building_5,Meta-RL,0.09205906096803027,2.0
5,Building_5,Meta-RL,0.16007934992984446,2.0
6,Building_5,Meta-RL,0.0509151554337519,0.0
7,Building_5,Meta-RL,0.04477143328881503,0.0
8,Building_5,Meta-RL,0.029232584687038633,0.0
9,Building_5,Meta-RL,0.12726334001137793,0.0
10,Building_5,Meta-RL,0.25470043592455127,0.0
11,Building_5,Meta-RL,0.32687196472069563,0.0
12,Building_5,Meta-RL,0.37157089052250497,0.0
13,Building_5,Meta-RL,0.42464129799047046,0.0
14,Building_5,Meta-RL,0.5021652815319768,0.0
15,Building_5,Meta-RL,0.4584239025834629,0.0
16,Building_5,Meta-RL,0.04121759664599682,0.0
17,Building_5,Meta-RL,0.04434448269242759,3.0
18,Building_5,Meta-RL,0.37976533810543667,1.0
19,Building_5,Meta-RL,0.46734749460070746,1.0
20,Building_5,Meta-RL,0.3382106446849725,0.0
21,Building_5,Meta-RL,0.366847440913832,2.0
22,Building_5,Meta-RL,0.22682813565322013,2.0
23,Building_5,Meta-RL,0.1914711013343556,0.0
24,Building_5,Meta-RL,0.17190937227297157,0.0
25,Building_5,Meta-RL,0.12129037275231272,0.0
26,Building_5,Meta-RL,0.08019306152228219,0.0
27,Building_5,Meta-RL,0.029067202638182105,0.0
28,Building_5,Meta-RL,0.03164597046704687,2.0
29,Building_5,Meta-RL,0.027583922195305782,0.0
30,Building_5,Meta-RL,0.028243387914060128,0.0
31,Building_5,Meta-RL,0.04030467051751871,0.0
32,Building_5,Meta-RL,0.11185386270312773,0.0
33,Building_5,Meta-RL,0.22088442440906064,0.0
34,Building_5,Meta-RL,0.3269076415296759,0.0
35,Building_5,Meta-RL,0.3703153972868966,0.0
36,Building_5,Meta-RL,0.4514890081275931,0.0
37,Building_5,Meta-RL,0.47544387386853343,0.0
38,Building_5,Meta-RL,0.5391444476520929,0.0
