month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation,occupant_count,indoor_dry_bulb_temperature_cooling_set_point,indoor_dry_bulb_temperature_heating_set_point,hvac_mode,outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3,carbon_intensity,electricity_pricing,electricity_pricing_predicted_1,electricity_pricing_predicted_2,electricity_pricing_predicted_3
6,1,2,0,23.380363,0.047029708,67.8663,0.3338146,0.0,1.7500075,0.0,0.0,2.0,23.333334,23.333334,1,21.85,98.19,0.0,0.0,21.732718,26.86608,17.422407,93.97673,69.35465,100.0,31.002764,558.88806,0.0,33.498173,206.74927,0.0,0.47011298,0.03025,0.03025,0.03025,0.03025
6,2,2,0,23.33466,0.0013268772,67.34361,0.3323906,0.0,2.6176996,0.0,0.0,2.0,23.333334,23.333334,1,21.38,98.5,0.0,0.0,20.411549,27.594866,18.847815,100.0,66.37845,58.537117,126.09154,353.8778,0.0,56.40534,156.5328,0.0,0.46705264,0.03025,0.03025,0.03025,0.03025
6,3,2,0,23.333405,7.1360664e-05,66.92191,0.33096662,0.0,2.182582,0.0,0.0,2.0,23.333334,23.333334,1,21.09,98.5,0.0,0.0,21.20041,25.718458,18.877052,83.31779,65.56698,98.34358,156.31213,568.6644,0.0,73.17529,218.93117,0.0,0.45780852,0.03025,0.03025,0.03025,0.03025
6,4,2,0,23.333344,1.0437979e-05,66.442665,0.33507794,0.0,1.6150712,0.0,0.0,2.0,23.333334,23.333334,1,20.94,98.0,0.0,0.0,21.554138,28.057226,18.871672,79.53162,60.264404,100.0,270.41684,229.66003,0.0,177.545,183.77454,0.0,0.4572636,0.03025,0.03025,0.06605,0.03025
6,5,2,0,23.333342,8.731608e-06,66.08825,0.33899686,0.0,1.1353076,0.0,0.0,2.0,23.333334,23.333334,1,20.82,97.88,0.0,0.0,23.526413,25.909586,18.416462,61.78427,81.09734,100.0,496.74292,182.76071,0.0,175.07445,85.39914,0.0,0.4610489,0.03025,0.03025,0.06605,0.03025
6,6,2,0,23.333342,8.862694e-06,66.08073,0.55161464,0.0,1.0510483,0.0,0.0,2.0,23.333334,23.333334,1,20.73,97.81,0.0,0.0,24.688236,26.883614,17.025522,78.168724,80.67924,100.0,501.38184,91.88104,0.0,193.22945,112.58622,0.0,0.4575128,0.03025,0.03025,0.06605,0.03025
6,7,2,0,23.333345,1.240711e-05,65.91791,0.67419684,1.3423363,2.3147688,0.0,13.748436,2.0,23.333334,23.333334,1,21.23,96.5,30.9,36.82,25.32839,25.503916,20.463068,81.200035,90.677086,78.63317,480.01373,71.47696,58.692337,211.27205,38.206497,398.49313,0.45027816,0.03025,0.03025,0.03025,0.03025
6,8,2,0,23.33334,6.5190893e-06,65.822205,0.6159926,0.0,1.2581092,0.0,104.747574,1.0,23.333334,23.333334,1,21.39,94.44,140.66,58.98,25.934942,24.385574,20.030565,66.75923,89.401794,94.32632,449.95847,0.0,105.83406,154.62993,0.0,383.47147,0.45374367,0.03025,0.03025,0.03025,0.03025
6,9,2,0,24.462029,-2.7601929,61.707027,0.83990026,0.0,0.0,0.0,158.3017,1.0,27.222221,27.222221,1,21.64,89.69,182.15,74.66,26.877234,23.41982,22.286222,65.38143,70.78384,68.0098,509.8629,0.0,177.7817,226.2342,0.0,492.90625,0.44543543,0.03025,0.03025,0.03025,0.03025
6,10,2,0,24.332039,-2.8901832,62.410606,0.98840845,0.0,0.0,0.0,329.17297,0.0,27.222221,27.222221,1,22.22,82.62,326.41,166.42,26.980125,20.604599,25.415966,55.95562,82.382904,100.0,371.38962,0.0,133.04637,122.74695,0.0,627.9957,0.44234326,0.03025,0.06605,0.03025,0.03025
6,11,2,0,24.88007,-2.3421524,60.589474,1.0720133,0.44627208,0.0,0.0,432.86932,1.0,27.222221,27.222221,1,23.33,75.56,425.37,182.01,26.515144,21.25197,26.568893,67.16211,100.0,78.039566,208.40778,0.0,157.05943,107.80541,0.0,802.10974,0.45530877,0.03025,0.06605,0.03025,0.03025
6,12,2,0,25.664686,-1.557537,58.1836,1.0403656,0.31987247,0.0,0.0,483.5661,1.0,27.222221,27.222221,1,24.47,71.31,463.43,195.09,24.985277,19.522152,25.069426,81.16241,87.78586,66.29368,114.50197,0.0,364.14062,102.72779,0.0,607.5118,0.46306032,0.03025,0.06605,0.03025,0.03025
6,13,2,0,26.745518,-0.47670382,54.782375,1.0394708,3.622239,0.0,0.0,472.20483,1.0,27.222221,27.222221,1,25.58,68.38,447.65,187.83,25.851902,18.74945,26.60559,91.205864,100.0,47.483448,60.82251,0.0,574.6564,41.181076,0.0,379.56885,0.4527143,0.03025,0.03025,0.03025,0.03025
6,14,2,0,26.39664,-0.82558227,55.994247,0.90357494,0.0,0.0,0.0,470.18118,1.0,27.222221,27.222221,1,26.43,66.62,455.7,183.63,22.105474,18.458553,25.641106,79.91177,86.503815,48.139324,0.0,0.0,226.5176,0.0,0.0,590.13324,0.4635738,0.03025,0.03025,0.03025,0.03025
6,15,2,0,26.726437,-0.4957848,54.972015,0.7352069,0.22313604,0.0,0.0,458.65646,0.0,27.222221,27.222221,1,26.83,66.0,441.52,200.63,21.126804,19.358719,29.191431,90.353584,91.37271,68.86159,0.0,0.0,178.88477,0.0,0.0,574.98694,0.4695444,0.03025,0.03025,0.03025,0.03025
6,16,2,0,27.070532,-0.15169086,54.026794,0.7154261,0.44627208,0.0,0.0,326.85913,1.0,27.222221,27.222221,1,26.76,66.19,326.56,147.07,20.64399,19.537521,25.710962,91.81506,88.01321,72.471306,0.0,0.0,278.18793,0.0,0.0,237.84607,0.46882877,0.06605,0.03025,0.03025,0.06605
6,17,2,0,27.219315,-0.0029085872,53.3397,0.6914502,2.294803,2.233297,0.0,206.86539,2.0,27.222221,27.222221,1,26.3,68.25,221.3,95.56,21.568743,18.26727,25.840044,100.0,85.66028,87.64802,0.0,0.0,141.10199,0.0,0.0,257.9803,0.47275716,0.06605,0.03025,0.03025,0.06605
6,18,2,0,27.222195,-2.8040073e-05,53.29985,0.7789315,2.7894194,1.9921538,0.0,109.67422,2.0,27.222221,27.222221,1,25.85,72.62,104.9,113.39,20.801079,19.104027,24.557205,100.0,73.830025,100.0,0.0,0.0,115.96357,0.0,0.0,117.26748,0.47323906,0.06605,0.03025,0.03025,0.06605
6,19,2,0,27.222223,1.6637432e-06,53.36068,0.58633614,0.28905353,1.021094,0.0,44.663177,2.0,27.222221,27.222221,1,24.97,77.38,61.32,42.12,19.199694,19.372705,25.09437,86.858864,86.52768,79.40309,0.0,52.68916,71.80017,0.0,370.82172,66.046425,0.48226416,0.03025,0.03025,0.03025,0.03025
6,20,2,0,27.222223,1.6364977e-07,53.688316,0.5548937,0.0,0.10148468,0.0,-0.0,2.0,27.222221,27.222221,1,23.04,87.5,0.0,0.0,17.735878,20.26377,24.113312,100.0,64.29074,55.963707,0.0,108.599236,0.0,0.0,512.5571,0.0,0.5003376,0.03025,0.03025,0.03025,0.03025
6,21,2,0,27.222223,6.030148e-07,53.973,0.5408532,1.1915668,0.3356069,0.0,0.0,2.0,27.222221,27.222221,1,22.08,87.62,0.0,0.0,18.368767,25.003202,21.809202,91.423256,57.066875,100.0,0.0,112.58285,0.0,0.0,536.8099,0.0,0.50964254,0.03025,0.03025,0.03025,0.03025
6,22,2,0,26.509468,-0.71275437,56.543545,0.44637764,0.0,0.0,0.0,0.0,2.0,27.222221,27.222221,1,21.36,88.56,0.0,0.0,18.126768,26.892214,21.198046,90.12259,93.826775,74.884346,0.0,166.10123,0.0,0.0,678.8591,0.0,0.50308573,0.03025,0.03025,0.03025,0.03025
6,23,2,0,25.997028,-1.2251936,58.489147,0.40833056,0.22313604,0.0,0.0,0.0,2.0,27.222221,27.222221,1,20.58,90.69,0.0,0.0,17.770475,25.138313,22.736822,77.715385,59.006527,84.72687,0.0,147.81535,0.0,0.0,619.89996,0.0,0.49714366,0.03025,0.03025,0.03025,0.03025
6,24,2,0,25.931229,-1.290994,58.899364,0.33523858,0.33840412,0.0,0.0,0.0,2.0,27.222221,27.222221,1,19.83,93.19,0.0,0.0,18.4611,25.733786,23.183495,99.393745,71.09678,100.0,0.0,266.60086,0.0,0.0,644.41406,0.0,0.49434522,0.03025,0.03025,0.03025,0.03025
6,1,3,0,25.458096,-1.7641267,60.740616,0.3357542,0.26791057,0.0,0.0,0.0,2.0,27.222221,27.222221,1,19.19,95.25,0.0,0.0,20.192036,27.86287,21.871456,84.963326,52.690098,100.0,64.14537,418.31686,0.0,331.71997,459.89725,0.0,0.4789742,0.03025,0.03025,0.03025,0.03025
6,2,3,0,24.801678,-2.420545,63.489056,0.3323906,0.0,0.0,0.0,0.0,2.0,27.222221,27.222221,1,18.72,96.25,0.0,0.0,20.913177,27.70957,19.06016,100.0,86.07052,76.34065,97.95989,219.17566,0.0,416.05692,604.30884,0.0,0.4688475,0.03025,0.03025,0.03025,0.03025
6,3,3,0,24.503769,-2.718453,64.66885,0.33096662,0.0,0.0,0.0,0.0,2.0,27.222221,27.222221,1,18.45,96.38,0.0,0.0,24.114597,28.559267,21.002155,76.929924,76.034454,64.59529,150.44382,316.2631,0.0,648.4305,552.57477,0.0,0.44310847,0.03025,0.03025,0.03025,0.03025
6,4,3,0,24.163452,-3.0587697,66.161476,0.33507794,0.0,0.0,0.0,0.0,2.0,27.222221,27.222221,1,18.3,96.25,0.0,0.0,26.023714,28.834887,19.26958,64.94632,67.67178,100.0,234.95996,301.35727,0.0,662.9053,316.58148,0.0,0.43657884,0.03025,0.03025,0.06605,0.03025
6,5,3,0,23.888105,-3.3341172,67.29273,0.33899686,0.0,0.0,0.0,0.0,2.0,27.222221,27.222221,1,18.24,95.81,0.0,0.0,26.435862,27.095081,21.626413,77.3726,94.03164,100.0,219.85518,199.39441,0.0,555.3321,260.0646,0.0,0.4352812,0.03025,0.03025,0.06605,0.03025
6,6,3,0,23.580257,-3.641964,68.684006,0.39034238,0.0,0.0,0.0,0.0,2.0,27.222221,27.222221,1,18.16,96.0,0.0,0.0,27.842081,27.15797,19.565607,56.030148,59.275585,94.89103,265.83893,123.55582,0.0,508.29437,170.54529,0.0,0.45700887,0.03025,0.03025,0.06605,0.03025
6,7,3,0,23.76486,-3.4573624,68.04291,0.45827937,0.0,0.0,0.0,32.467655,2.0,27.222221,27.222221,1,19.53,92.69,63.83,287.88,26.645485,24.102024,20.526522,55.80622,100.0,100.0,372.97986,74.82843,66.74297,291.90598,88.65254,61.51886,0.49452928,0.03025,0.03025,0.03025,0.03025
6,8,3,0,24.094671,-3.1275501,66.878,0.5607634,0.0,0.0,0.0,128.31343,2.0,27.222221,27.222221,1,21.28,87.88,105.22,490.84,26.581623,23.859812,21.326147,70.79262,62.787884,100.0,216.3616,0.0,80.83597,515.7017,0.0,214.23415,0.4944391,0.03025,0.03025,0.03025,0.03025
6,9,3,0,24.711042,-2.5111792,64.56207,0.83990026,0.44394767,0.0,0.0,284.48843,2.0,27.222221,27.222221,1,24.02,77.88,134.06,576.74,27.587437,22.473553,21.86955,70.12897,66.35977,58.9256,225.92233,0.0,111.83862,614.06036,0.0,140.23611,0.47131962,0.03025,0.03025,0.03025,0.03025
6,10,3,0,26.256279,-0.9659438,59.135002,1.0413849,0.9690467,0.0,0.0,413.4972,2.0,27.222221,27.222221,1,25.71,72.25,204.1,562.27,27.28754,23.580542,22.945002,56.620453,100.0,100.0,352.93524,0.0,216.9128,300.95004,0.0,145.5801,0.47890112,0.03025,0.06605,0.03025,0.03025
6,11,3,0,25.849432,-1.372791,60.60612,1.0720133,0.0,0.0,0.0,535.3922,1.0,27.222221,27.222221,1,26.51,69.81,208.7,659.06,27.95526,23.118599,22.925055,82.03747,100.0,100.0,204.59222,0.0,55.952324,232.51993,0.0,35.24502,0.4754316,0.03025,0.06605,0.03025,0.03025
6,12,3,0,26.201427,-1.0207947,59.454754,1.0403656,0.0,0.0,0.0,563.4972,1.0,27.222221,27.222221,1,26.88,68.88,309.69,507.82,25.549463,21.438408,25.27831,78.59632,89.59609,97.028366,133.63339,0.0,127.26756,122.61055,0.0,34.495808,0.47029617,0.03025,0.06605,0.03025,0.03025
6,13,3,0,26.71029,-0.5119322,57.912735,1.2974979,0.0,0.0,0.0,555.21704,1.0,27.222221,27.222221,1,27.26,68.25,419.48,354.38,24.804157,22.13518,25.26694,93.761696,100.0,94.015236,58.630352,0.0,95.5749,70.53839,0.0,44.48566,0.47118518,0.03025,0.03025,0.03025,0.03025
6,14,3,0,27.16206,-0.060162835,56.644073,5.707844,0.0,0.14065352,0.0,527.19855,1.0,27.222221,27.222221,1,27.4,67.94,232.93,486.74,23.666584,20.84526,22.04488,99.47356,100.0,77.41636,0.0,0.0,53.067745,0.0,0.0,39.7567,0.4753124,0.03025,0.03025,0.03025,0.03025
6,15,3,0,27.222223,1.0038602e-06,56.60493,0.7876951,0.0,0.28872514,0.0,563.0854,1.0,27.222221,27.222221,1,27.55,68.06,266.77,539.52,24.156904,22.268398,22.604893,86.28565,86.592255,62.45762,0.0,0.0,64.91679,0.0,0.0,23.273119,0.47744054,0.03025,0.03025,0.03025,0.03025
6,16,3,0,27.222225,2.2334173e-06,56.705982,0.77456397,0.0,0.61724156,0.0,373.41653,2.0,27.222221,27.222221,1,27.63,68.56,297.46,254.66,23.247938,19.842937,23.64742,100.0,100.0,100.0,0.0,0.0,39.28258,0.0,0.0,18.761429,0.4795814,0.06605,0.03025,0.03025,0.06605
6,17,3,0,27.222225,2.0887724e-06,56.609707,0.6914502,0.0,0.87290925,0.0,271.44708,2.0,27.222221,27.222221,1,27.22,73.25,217.46,230.98,22.330435,20.846867,24.416784,100.0,100.0,85.05085,0.0,0.0,34.667576,0.0,0.0,28.7171,0.48127407,0.06605,0.03025,0.03025,0.06605
6,18,3,0,27.222223,1.7369905e-06,56.534363,0.62185955,0.22197384,0.995686,0.0,146.50667,2.0,27.222221,27.222221,1,26.48,75.44,146.02,132.59,22.365324,19.67974,24.175577,100.0,100.0,80.50661,0.0,0.0,37.038567,0.0,0.0,33.453907,0.48011792,0.06605,0.03025,0.03025,0.06605
6,19,3,0,27.222223,1.457396e-06,56.620365,0.58633614,0.88789535,0.96494186,0.0,48.48943,2.0,27.222221,27.222221,1,25.08,86.62,61.24,81.07,21.91018,20.258287,23.606558,93.775246,100.0,100.0,0.0,82.41517,14.217066,0.0,90.51512,15.4596815,0.4795978,0.03025,0.03025,0.03025,0.03025
6,20,3,0,27.222223,8.624842e-07,56.787525,0.5548937,0.0,0.5797061,0.0,-0.0,2.0,27.222221,27.222221,1,23.69,88.44,0.0,0.0,20.364897,20.789286,23.315075,100.0,100.0,100.0,0.0,90.98059,0.0,0.0,123.43636,0.0,0.48211902,0.03025,0.03025,0.03025,0.03025
6,21,3,0,27.222223,4.3019836e-07,57.033302,0.44508553,0.0,0.23903714,0.0,0.0,2.0,27.222221,27.222221,1,23.16,89.12,0.0,0.0,21.719627,22.592144,21.563732,91.736046,99.37599,94.16027,0.0,131.93665,0.0,0.0,106.64819,0.0,0.48091182,0.03025,0.03025,0.03025,0.03025
6,22,3,0,27.165161,-0.057060834,57.53943,0.44637764,0.0,0.0,0.0,0.0,2.0,27.222221,27.222221,1,22.66,91.12,0.0,0.0,21.513779,22.737505,21.686937,83.03207,100.0,84.94819,0.0,221.53998,0.0,0.0,99.73246,0.0,0.47827756,0.03025,0.03025,0.03025,0.03025
6,23,3,0,26.758698,-0.46352437,59.242943,0.40833056,0.0,0.0,0.0,0.0,2.0,27.222221,27.222221,1,22.08,94.06,0.0,0.0,20.94985,24.090977,22.379635,88.10045,85.876305,82.88633,0.0,35.05753,0.0,0.0,31.121819,0.0,0.47562397,0.03025,0.03025,0.03025,0.03025
6,24,3,0,26.460796,-0.7614256,60.556873,0.35577804,0.0,0.0,0.0,0.0,2.0,27.222221,27.222221,1,21.47,96.88,0.0,0.0,20.518776,23.068468,20.139315,100.0,63.00859,87.6729,0.0,106.628105,0.0,0.0,64.90822,0.0,0.4640371,0.03025,0.03025,0.03025,0.03025
6,1,4,0,26.094696,-1.1275266,62.45261,0.33239603,0.0,0.0,0.0,0.0,2.0,27.222221,27.222221,1,20.92,99.5,0.0,0.0,21.01597,24.787373,18.454214,82.11539,62.81251,92.98003,57.050835,84.48145,0.0,84.60991,33.981472,0.0,0.44177362,0.03025,0.03025,0.03025,0.03025
6,2,4,0,25.912819,-1.3094039,63.311928,0.33095628,0.6624767,0.0,0.0,0.0,2.0,27.222221,27.222221,1,20.68,99.69,0.0,0.0,21.155832,24.622732,19.715105,100.0,90.74818,100.0,112.200806,48.5878,0.0,163.57018,37.579716,0.0,0.43493414,0.03025,0.03025,0.03025,0.03025
6,3,4,0,25.629282,-1.5929412,64.59167,0.32951653,0.0,0.0,0.0,0.0,2.0,27.222221,27.222221,1,20.82,98.62,0.0,0.0,21.382435,23.271883,20.515554,87.25209,70.12218,70.009964,209.86705,42.31756,0.0,151.35854,36.597153,0.0,0.4290794,0.03025,0.03025,0.03025,0.03025
6,4,4,0,25.419355,-1.8028672,65.56983,0.33292907,0.0,0.0,0.0,0.0,2.0,27.222221,27.222221,1,20.79,98.06,0.0,0.0,23.6082,23.581964,21.644693,100.0,100.0,75.295135,205.10515,31.342243,0.0,145.36702,26.921873,0.0,0.39977527,0.03025,0.03025,0.06605,0.03025
6,5,4,0,25.147917,-2.0743055,66.938385,0.3508985,0.0,0.0,0.0,0.0,2.0,27.222221,27.222221,1,20.62,98.12,0.0,0.0,24.048632,23.056234,20.797918,82.31928,91.39745,90.38858,46.555305,29.599947,0.0,27.516428,34.248314,0.0,0.41850835,0.03025,0.03025,0.06605,0.03025
6,6,4,0,24.894958,-2.3272643,68.338425,0.3848646,0.0,0.0,0.0,0.0,2.0,27.222221,27.222221,1,20.55,97.62,0.0,0.0,24.194468,21.197926,21.141058,94.00209,80.42655,78.35577,76.980865,33.698406,0.0,56.04173,24.197817,0.0,0.45772928,0.03025,0.03025,0.06605,0.03025
6,7,4,0,24.958796,-2.2634275,68.26333,0.44111943,0.0,0.0,0.0,28.843544,2.0,27.222221,27.222221,1,21.08,97.56,63.8,79.33,23.502554,21.056942,18.849815,79.32851,72.72169,79.14304,83.54068,13.402994,61.16365,34.375813,19.997643,55.974445,0.48130792,0.03025,0.03025,0.03025,0.03025
6,8,4,0,25.020817,-2.201405,68.2446,0.5313403,0.0,0.0,0.0,99.51636,2.0,27.222221,27.222221,1,21.56,95.94,116.56,164.82,24.086256,20.88369,20.892464,77.630424,100.0,92.411385,59.220253,0.0,122.37286,27.986992,0.0,39.66723,0.49821162,0.03025,0.03025,0.03025,0.03025
6,9,4,0,25.677439,-1.5447828,65.90285,0.7268721,0.3131316,0.0,0.0,181.04857,2.0,27.222221,27.222221,1,22.07,95.19,180.28,148.73,23.100077,20.585756,20.92863,91.45664,100.0,72.78423,62.780605,0.0,211.15167,43.47019,0.0,67.642876,0.49350348,0.03025,0.03025,0.03025,0.03025
6,10,4,0,26.216602,-1.0056199,64.11942,0.9593837,1.7890943,0.0,0.0,216.19658,2.0,27.222221,27.222221,1,22.92,93.94,207.36,125.66,22.500586,22.119522,21.89345,100.0,95.8114,86.3728,40.025723,0.0,280.9198,26.783184,0.0,107.18657,0.47987425,0.03025,0.06605,0.03025,0.03025
6,11,4,0,25.629564,-1.5926577,66.61457,0.9858981,0.0,0.0,0.0,47.43199,1.0,27.222221,27.222221,1,23.61,91.5,47.59,26.96,23.81016,20.124033,24.363607,86.04219,76.98349,57.158047,37.41575,0.0,391.42484,25.791124,0.0,130.11523,0.47079152,0.03025,0.06605,0.03025,0.03025
6,12,4,0,25.46678,-1.7554429,67.57795,0.9583486,0.0,0.0,0.0,106.95998,1.0,27.222221,27.222221,1,23.9,89.38,96.04,52.18,22.790506,20.534502,25.428137,100.0,75.32491,86.731384,22.434486,0.0,498.34418,27.833942,0.0,261.64392,0.466582,0.03025,0.06605,0.03025,0.03025
6,13,4,0,25.468588,-1.7536341,68.03116,0.9581684,0.0,0.0,0.0,77.52721,1.0,27.222221,27.222221,1,23.95,87.88,70.24,36.91,22.310823,18.896381,24.300098,100.0,69.003044,47.96245,12.054599,0.0,281.41992,21.505354,0.0,175.17957,0.46161386,0.03025,0.03025,0.03025,0.03025
6,14,4,0,25.483128,-1.7390945,68.05452,0.84276366,0.0,0.0,0.0,60.68236,1.0,27.222221,27.222221,1,23.91,86.94,52.24,33.41,20.901583,21.708378,24.700478,100.0,100.0,72.58695,0.0,0.0,272.9628,0.0,0.0,315.78543,0.46328464,0.03025,0.03025,0.03025,0.03025
6,15,4,0,25.539736,-1.6824865,68.00125,0.99515635,0.17957653,0.0,0.0,64.90592,1.0,27.222221,27.222221,1,23.57,88.06,56.72,36.56,22.182264,19.369577,27.135452,100.0,76.62505,56.160145,0.0,0.0,231.42212,0.0,0.0,257.02148,0.4597009,0.03025,0.03025,0.03025,0.03025
6,16,4,0,25.340322,-1.881899,69.38286,1.9555454,0.0,0.0,0.0,36.904087,1.0,27.222221,27.222221,1,23.15,90.44,35.63,23.81,21.482038,19.377693,26.389427,100.0,100.0,80.4364,0.0,0.0,188.26143,0.0,0.0,179.93065,0.4705543,0.06605,0.03025,0.03025,0.06605
6,17,4,0,25.814413,-1.4078093,68.24854,0.8239434,0.6624767,0.0,0.0,35.972157,2.0,27.222221,27.222221,1,22.82,92.94,36.52,27.57,20.34993,19.698002,23.566986,88.231895,100.0,86.93366,0.0,0.0,270.56873,0.0,0.0,175.64754,0.4634172,0.06605,0.03025,0.03025,0.06605
6,18,4,0,25.475723,-1.7464988,70.3492,0.6069063,0.0,0.0,0.0,24.594902,2.0,27.222221,27.222221,1,22.47,95.19,27.32,28.43,20.93882,21.004232,22.693546,100.0,78.88456,69.89937,0.0,0.0,94.80483,0.0,0.0,139.28851,0.4543644,0.06605,0.03025,0.03025,0.06605
6,19,4,0,25.261265,-1.9609576,71.726036,0.57824486,0.0,0.0,0.0,5.6214285,2.0,27.222221,27.222221,1,22.08,96.88,10.72,24.6,20.652958,19.314949,23.947554,100.0,100.0,84.042244,0.0,38.85319,63.518906,0.0,49.54805,40.624203,0.4529594,0.03025,0.03025,0.03025,0.03025
